# ran: examples/color_live.py
# NOTE: this is program OUTPUT; the source is in examples/color_live.py

# examples/color_live.py — stream BOTH colour sensors so surfaces can be compared live.
==========================================================================
COLOUR SENSORS -- LIVE. Hold each surface under sensor C and keep it still.
==========================================================================

  Surfaces that matter: floor | YELLOW note | BLUE tape | SILVER tape
  Watch the 'name' column and the r:g:b ratios, not the raw numbers.

   t(s)  P  color name      refl |   r    g    b    i | r%%   g%%   b%%
   24.6  D    -1 UNKNOWN      5 |   37   18   16   57 | 52.1 25.4 22.5
   24.9  C    -1 UNKNOWN      1 |    8    6    6   15 | 40.0 30.0 30.0
   24.9  D    -1 UNKNOWN      5 |   40   18   17   60 | 53.3 24.0 22.7
   25.1  C    -1 UNKNOWN      1 |   11    8    8   19 | 40.7 29.6 29.6
   25.1  D    -1 UNKNOWN      6 |   43   20   18   66 | 53.1 24.7 22.2
   25.4  C    -1 UNKNOWN      1 |   10    8    8   20 | 38.5 30.8 30.8
   25.4  D    -1 UNKNOWN      5 |   40   18   16   59 | 54.1 24.3 21.6
   25.6  C    -1 UNKNOWN      1 |   10    7    8   18 | 40.0 28.0 32.0
   25.6  D    -1 UNKNOWN      5 |   35   17   16   53 | 51.5 25.0 23.5
   25.9  C    -1 UNKNOWN      1 |    6    4    4   12 | 42.9 28.6 28.6
   25.9  D    -1 UNKNOWN      4 |   33   17   14   51 | 51.6 26.6 21.9
   26.1  C    -1 UNKNOWN      0 |    5    4    4    9 | 38.5 30.8 30.8
   26.1  D    -1 UNKNOWN      4 |   32   16   14   49 | 51.6 25.8 22.6
   26.4  C    -1 UNKNOWN      0 |    4    4    4   10 | 33.3 33.3 33.3
   26.4  D    -1 UNKNOWN      5 |   36   18   16   54 | 51.4 25.7 22.9
   26.6  C    -1 UNKNOWN      0 |    5    4    6   10 | 33.3 26.7 40.0
   26.6  D    -1 UNKNOWN      3 |   26   13   10   38 | 53.1 26.5 20.4
   26.9  C    -1 UNKNOWN      1 |    8    5    4   14 | 47.1 29.4 23.5
   26.9  D    -1 UNKNOWN      6 |   43   21   19   66 | 51.8 25.3 22.9
   27.1  C    -1 UNKNOWN      1 |    8    5    4   14 | 47.1 29.4 23.5
   27.1  D    -1 UNKNOWN     14 |  100   49   43  152 | 52.1 25.5 22.4
   27.4  C    -1 UNKNOWN      1 |    9    5    4   16 | 50.0 27.8 22.2
   27.4  D    -1 UNKNOWN     11 |   79   37   33  118 | 53.0 24.8 22.1
   27.6  C    -1 UNKNOWN      1 |    9    5    6   15 | 45.0 25.0 30.0
   27.6  D    -1 UNKNOWN      8 |   60   29   27   91 | 51.7 25.0 23.3
   27.9  C    -1 UNKNOWN      0 |    5    3    4    9 | 41.7 25.0 33.3
   27.9  D    -1 UNKNOWN      4 |   34   16   14   51 | 53.1 25.0 21.9
   28.1  C    -1 UNKNOWN      0 |    3    3    4    6 | 30.0 30.0 40.0
   28.1  D    -1 UNKNOWN      0 |    4    1    3    7 | 50.0 12.5 37.5
   28.4  C    -1 UNKNOWN      0 |    2    3    2    4 | 28.6 42.9 28.6
   28.4  D    -1 UNKNOWN      1 |   13    6    7   20 | 50.0 23.1 26.9
   28.6  C    -1 UNKNOWN      3 |   19   11   12   32 | 45.2 26.2 28.6
   28.6  D    -1 UNKNOWN      0 |    2    2    2    5 | 33.3 33.3 33.3
   28.9  C     9 RED         17 |  110   59   64  183 | 47.2 25.3 27.5
   28.9  D    -1 UNKNOWN      0 |    3    2    2    6 | 42.9 28.6 28.6
   29.1  C     9 RED         21 |  130   69   76  216 | 47.3 25.1 27.6
   29.1  D    -1 UNKNOWN      1 |    8    4    4   12 | 50.0 25.0 25.0
   29.4  C     9 RED         28 |  172   94  101  287 | 46.9 25.6 27.5
   29.4  D    -1 UNKNOWN      1 |    8    4    4   12 | 50.0 25.0 25.0
   29.6  C     9 RED          8 |   52   28   30   89 | 47.3 25.5 27.3
   29.6  D    -1 UNKNOWN      1 |    9    4    5   13 | 50.0 22.2 27.8
   29.9  C     9 RED         18 |  114   61   66  193 | 47.3 25.3 27.4
   29.9  D    -1 UNKNOWN      1 |    8    4    5   14 | 47.1 23.5 29.4
   30.1  C    -1 UNKNOWN      0 |    3    4    4    7 | 27.3 36.4 36.4
   30.1  D    -1 UNKNOWN      2 |   13    8    7   21 | 46.4 28.6 25.0
   30.4  C    -1 UNKNOWN      0 |    4    4    4    8 | 33.3 33.3 33.3
   30.4  D    -1 UNKNOWN      1 |    8    4    5   14 | 47.1 23.5 29.4
   30.6  C    -1 UNKNOWN      1 |    6    4    4   12 | 42.9 28.6 28.6
   30.6  D    -1 UNKNOWN      1 |   10    5    5   16 | 50.0 25.0 25.0
   30.9  C    -1 UNKNOWN      1 |    8    5    6   16 | 42.1 26.3 31.6
   30.9  D    -1 UNKNOWN      1 |   10    5    4   16 | 52.6 26.3 21.1
   31.1  C    -1 UNKNOWN      1 |    8    7    6   16 | 38.1 33.3 28.6
   31.1  D    -1 UNKNOWN      0 |    2    1    1    4 | 50.0 25.0 25.0
   31.4  C    -1 UNKNOWN      1 |    9    5    6   15 | 45.0 25.0 30.0
   31.4  D    -1 UNKNOWN      1 |    7    4    4   12 | 46.7 26.7 26.7
   31.6  C    -1 UNKNOWN      1 |    6    4    6   11 | 37.5 25.0 37.5
