# surface survey -- labelled colour-sensor captures
# SV,label,port,t_ms,color_code,color_name,reflection,r,g,b,i
# --- YELLOW_NOTE  10:04:40  (5 s) ---
SV,YELLOW_NOTE,C,10410,10,WHITE,34,151,158,161,356
SV,YELLOW_NOTE,D,10410,0,BLACK,21,87,101,111,222
SV,YELLOW_NOTE,C,10511,0,BLACK,32,139,148,149,329
SV,YELLOW_NOTE,D,10511,0,BLACK,24,97,113,121,246
SV,YELLOW_NOTE,C,10612,0,BLACK,32,141,150,151,334
SV,YELLOW_NOTE,D,10612,0,BLACK,23,96,111,119,243
SV,YELLOW_NOTE,C,10713,0,BLACK,30,133,142,146,317
SV,YELLOW_NOTE,D,10713,0,BLACK,23,95,111,119,240
SV,YELLOW_NOTE,C,10814,0,BLACK,31,133,142,146,318
SV,YELLOW_NOTE,D,10814,0,BLACK,23,94,109,116,237
SV,YELLOW_NOTE,C,10915,0,BLACK,29,124,137,140,300
SV,YELLOW_NOTE,D,10915,0,BLACK,24,98,111,119,247
SV,YELLOW_NOTE,C,11016,0,BLACK,31,134,144,146,319
SV,YELLOW_NOTE,D,11016,0,BLACK,24,97,113,121,247
SV,YELLOW_NOTE,C,11117,0,BLACK,30,133,144,146,317
SV,YELLOW_NOTE,D,11117,0,BLACK,23,96,111,119,243
SV,YELLOW_NOTE,C,11218,0,BLACK,31,133,144,146,318
SV,YELLOW_NOTE,D,11218,0,BLACK,24,97,113,121,246
SV,YELLOW_NOTE,C,11320,0,BLACK,30,133,144,146,317
SV,YELLOW_NOTE,D,11320,0,BLACK,24,97,113,121,246
SV,YELLOW_NOTE,C,11421,0,BLACK,31,135,144,146,319
SV,YELLOW_NOTE,D,11421,0,BLACK,24,97,113,121,246
SV,YELLOW_NOTE,C,11522,0,BLACK,31,135,145,148,320
SV,YELLOW_NOTE,D,11522,0,BLACK,23,97,113,121,244
SV,YELLOW_NOTE,C,11624,0,BLACK,31,135,145,148,322
SV,YELLOW_NOTE,D,11624,0,BLACK,24,98,114,123,249
SV,YELLOW_NOTE,C,11725,0,BLACK,31,134,144,146,319
SV,YELLOW_NOTE,D,11725,0,BLACK,24,97,113,121,246
SV,YELLOW_NOTE,C,11826,0,BLACK,31,134,144,146,318
SV,YELLOW_NOTE,D,11826,0,BLACK,24,97,114,121,247
SV,YELLOW_NOTE,C,11927,0,BLACK,31,135,145,148,321
SV,YELLOW_NOTE,D,11927,0,BLACK,24,97,113,121,246
SV,YELLOW_NOTE,C,12028,0,BLACK,31,136,145,148,322
SV,YELLOW_NOTE,D,12028,0,BLACK,23,96,111,119,243
SV,YELLOW_NOTE,C,12129,0,BLACK,31,134,145,146,319
SV,YELLOW_NOTE,D,12129,0,BLACK,23,96,111,119,242
SV,YELLOW_NOTE,C,12230,0,BLACK,30,133,144,146,317
SV,YELLOW_NOTE,D,12230,0,BLACK,23,97,113,121,245
SV,YELLOW_NOTE,C,12331,0,BLACK,29,127,140,144,307
SV,YELLOW_NOTE,D,12331,0,BLACK,24,97,113,121,247
SV,YELLOW_NOTE,C,12432,0,BLACK,29,126,138,142,305
SV,YELLOW_NOTE,D,12432,0,BLACK,23,95,110,119,241
SV,YELLOW_NOTE,C,12533,0,BLACK,28,119,132,136,289
SV,YELLOW_NOTE,D,12533,0,BLACK,24,100,114,123,251
